Q01_QA1;Q01_QB2;Q05_QA1;Q05_QB1;Q05_QB2;Q05_QC11;Q01_QB1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Q01_QB1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
Q01_QA1;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN
Q01_QB2;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN
Q05_QA1;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN
Q05_QB1;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN;CLOSED;CLOSED;CLOSED;CLOSED;OPEN;OPEN;OPEN;OPEN
Q05_QB2;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN;CLOSED;CLOSED;OPEN;OPEN
Q05_QC11;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN;CLOSED;OPEN
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;TRUE = OPEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;FALSE = CLOSED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
